530552,327595
530552,453715
530552,530552
530552,480197
530552,393401
530552,269182
530552,741071
530552,908823
530552,177869
741071,530552
741071,393401
741071,269182
741071,741071
741071,908823
741071,177869
908823,327595
908823,453715
908823,530552
908823,480197
908823,741071
908823,908823
908823,177869
908823,18468
393401,453715
393401,530552
393401,480197
393401,393401
393401,908823
393401,177869
480197,327595
480197,453715
480197,530552
480197,480197
480197,393401
480197,269182
480197,741071
269182,453715
269182,530552
269182,393401
269182,741071
269182,908823
269182,177869
269182,18468
453715,453715
453715,530552
453715,393401
453715,269182
453715,741071
453715,908823
453715,177869
453715,18468
177869,327595
177869,453715
177869,530552
177869,480197
177869,269182
177869,908823
177869,177869
177869,18468
327595,327595
327595,453715
327595,480197
327595,393401
327595,269182
327595,908823
327595,177869
327595,18468
18468,530552
18468,480197
18468,393401
18468,269182
18468,741071
18468,908823
18468,177869
18468,18468
