302906,0,4
405214,29,45
618679,78,118
53895,135,190
805120,240,285
676834,328,419
137779,457,537
688700,622,638
437072,733,805
484136,870,918
927037,942,955
537536,1026,1118
192656,1172,1226
76414,1273,1345
90328,1394,1438
617109,1480,1498
693268,1597,1639
69273,1710,1767
375142,1788,1814
347639,1866,1890
831012,1902,1928
316872,1968,2048
319002,2142,2156
637987,2191,2261
277514,2264,2318
492510,2374,2451
64447,2466,2554
902124,2645,2687
194001,2722,2780
215417,2819,2840
665070,2891,2925
437097,2942,3029
819133,3103,3116
175854,3181,3236
405271,3296,3310
691263,3316,3340
920643,3354,3383
543668,3391,3440
825358,3537,3560
768956,3579,3594
375147,3690,3707
997165,3752,3822
781300,3867,3890
53882,3978,4039
387586,4116,4195
979713,4207,4294
974909,4321,4360
88415,4451,4481
77551,4573,4632
280702,4679,4714
965377,4781,4838
819601,4847,4925
344327,4970,5005
