893526,0,24
28800,64,161
138094,216,262
150292,324,366
569898,417,478
366574,576,578
419956,653,657
590492,754,761
482433,817,892
186152,989,998
981595,1086,1159
490177,1245,1315
211665,1319,1386
386347,1419,1450
619077,1534,1568
633556,1615,1658
723931,1736,1750
94575,1813,1878
371254,1887,1902
770877,1970,1995
599703,2041,2054
258433,2103,2147
424515,2224,2263
339307,2290,2300
983436,2334,2384
399532,2393,2424
391566,2448,2462
997236,2559,2596
818013,2667,2715
525522,2813,2823
430160,2837,2919
648107,3005,3099
68483,3100,3173
205022,3213,3293
606154,3365,3398
60567,3406,3429
625098,3433,3495
912756,3592,3652
187516,3663,3720
216122,3754,3811
404812,3816,3885
948425,3907,3951
181870,4025,4124
133662,4182,4200
843209,4267,4306
522923,4369,4395
