498385,0,17
274351,117,196
823339,245,297
861102,332,353
667229,425,430
562557,498,500
437084,574,627
925068,675,764
123682,841,912
436288,967,1044
912741,1137,1199
393166,1288,1339
971280,1354,1440
154269,1535,1591
832646,1616,1643
241151,1689,1701
122768,1705,1757
121600,1781,1864
582508,1914,1983
497957,1995,2068
72546,2092,2124
154453,2223,2315
170807,2381,2460
178784,2463,2508
57911,2589,2614
876723,2629,2719
149925,2815,2833
328324,2835,2855
693408,2898,2972
95896,2998,3039
645698,3106,3200
564847,3288,3354
280786,3390,3395
178226,3493,3517
292090,3615,3690
985607,3772,3799
708948,3848,3897
459960,3900,3943
751536,3944,4006
107460,4084,4183
163962,4190,4255
591653,4350,4410
478964,4453,4477
673858,4484,4545
768610,4594,4631
416749,4636,4642
458867,4741,4795
660342,4821,4890
764106,4983,4996
533448,5021,5088
809795,5180,5271
655377,5341,5404
933552,5440,5443
80470,5459,5503
409421,5510,5544
981854,5633,5673
647341,5713,5724
522693,5786,5809
45906,5879,5895
456819,5938,5984
185141,5993,6089
291726,6127,6169
47554,6234,6258
562951,6318,6360
